institution,peer_group,publication_year,records,median_percentile,mean_fwci_style_ratio,top10_share,open_access_share,international_share,is_uea
University of East Anglia,UEA comparator,2018,1785,51.3,1.0506935574229692,0.11372549019607843,0.769187675070028,0.5607843137254902,True
University of East Anglia,UEA comparator,2019,1851,53.7,1.1373776337115074,0.11453268503511616,0.791464073473798,0.5569962182603998,True
University of East Anglia,UEA comparator,2020,1885,51.8,1.2946567639257294,0.10716180371352785,0.7702917771883289,0.5469496021220159,True
University of East Anglia,UEA comparator,2021,1894,50.6,1.0583009503695882,0.0945089757127772,0.793558606124604,0.5559662090813094,True
University of East Anglia,UEA comparator,2022,1726,48.6,1.1989507531865586,0.10660486674391657,0.8128621089223639,0.5724217844727694,True
University of East Anglia,UEA comparator,2023,1846,51.2,1.0838808234019501,0.10021668472372698,0.8580715059588299,0.5796316359696642,True
University of East Anglia,UEA comparator,2024,1731,49.9,1.1450872328134025,0.10398613518197573,0.855574812247256,0.584055459272097,True
University of Edinburgh,Russell Group,2015,5170,51.3,1.0809346228239844,0.11044487427466151,0.7226305609284333,0.5191489361702127,False
University of Edinburgh,Russell Group,2016,5251,51.7,1.09640411350219,0.1131213102266235,0.7966101694915254,0.5244715292325272,False
University of Edinburgh,Russell Group,2017,5536,52.650000000000006,1.0896340317919075,0.11578757225433527,0.8173771676300579,0.5552745664739884,False
University of Edinburgh,Russell Group,2018,5747,51.1,1.1106206716547764,0.1091004002088046,0.8280842178527927,0.5681224986949713,False
University of Edinburgh,Russell Group,2019,6339,50.7,1.049962770153021,0.10537939738129043,0.8182678655939423,0.58463480044171,False
University of Edinburgh,Russell Group,2020,6751,51.5,1.1499629684491186,0.11139090505110354,0.8509850392534439,0.6200562879573397,False
University of Edinburgh,Russell Group,2021,7068,52.7,1.1164816072439163,0.10979060554612337,0.8548387096774194,0.6189869835880023,False
University of Edinburgh,Russell Group,2022,6967,51.7,1.1481680780823884,0.11009042629539256,0.86349935409789,0.6207836945600689,False
University of Edinburgh,Russell Group,2023,7136,51.0,1.0845313901345293,0.10986547085201794,0.8769618834080718,0.6306053811659192,False
University of Edinburgh,Russell Group,2024,7341,50.5,1.0147876311129274,0.10448167824547064,0.8775371202833402,0.6451437133905462,False
University of Exeter,Russell Group,2015,2528,55.9,1.1377136075949366,0.11352848101265822,0.6744462025316456,0.5193829113924051,False
University of Exeter,Russell Group,2016,2673,54.7,1.1002244668911336,0.12008978675645342,0.7216610549943884,0.5289936401047513,False
University of Exeter,Russell Group,2017,2926,55.1,1.0870085440874915,0.11893369788106631,0.7563226247436774,0.5659603554340397,False
University of Exeter,Russell Group,2018,3220,52.25,1.1490711180124225,0.1263975155279503,0.7819875776397516,0.577639751552795,False
University of Exeter,Russell Group,2019,3402,54.3,1.0935720164609053,0.11346266901822458,0.7895355673133451,0.5661375661375662,False
University of Exeter,Russell Group,2020,3831,54.8,1.120706081962934,0.12424954320020883,0.79796397807361,0.6141999477943095,False
University of Exeter,Russell Group,2021,3936,54.4,1.1927126524390244,0.12423780487804878,0.8119918699186992,0.6521849593495935,False
University of Exeter,Russell Group,2022,4003,54.0,1.1552650512115912,0.1284036972270797,0.8248813389957532,0.6395203597302024,False
University of Exeter,Russell Group,2023,3927,55.2,1.1540522026992615,0.12044817927170869,0.8556149732620321,0.6473134708428826,False
University of Exeter,Russell Group,2024,4223,53.9,1.2273149419843714,0.1262135922330097,0.8458441865972057,0.6474070565948378,False
University of Glasgow,Russell Group,2015,3516,45.1,1.05132992036405,0.09015927189988623,0.5870307167235495,0.4960182025028441,False
University of Glasgow,Russell Group,2016,3802,47.7,1.0679042609153078,0.09495002630194635,0.6441346659652815,0.50894266175697,False
University of Glasgow,Russell Group,2017,3891,48.0,1.1174705731174506,0.10074530968902595,0.7453096890259573,0.5327679259830378,False
University of Glasgow,Russell Group,2018,4152,46.650000000000006,0.9954313583815029,0.10067437379576108,0.8848747591522158,0.565028901734104,False
University of Glasgow,Russell Group,2019,4377,51.1,1.1711880283299063,0.11674663011194883,0.8704592186429061,0.579620744802376,False
University of Glasgow,Russell Group,2020,4748,49.7,1.1491834456613312,0.11183656276326874,0.8854254422914911,0.6036225779275485,False
University of Glasgow,Russell Group,2021,4942,49.5,1.1905570619182517,0.1094698502630514,0.8789963577498988,0.6161473087818697,False
University of Glasgow,Russell Group,2022,5029,49.9,1.1260377808709485,0.1115529926426725,0.9043547424935375,0.5941539073374428,False
University of Glasgow,Russell Group,2023,5248,51.0,1.1397118902439023,0.10670731707317073,0.8910060975609756,0.6248094512195121,False
University of Glasgow,Russell Group,2024,5536,49.2,1.0506716040462427,0.10621387283236994,0.8907153179190751,0.6293352601156069,False
University of Leeds,Russell Group,2015,3893,50.3,0.9249059851014642,0.09529925507320833,0.5301823786283072,0.4782943745183663,False
University of Leeds,Russell Group,2016,4070,50.1,0.9449793611793611,0.09901719901719902,0.5746928746928747,0.49238329238329237,False
University of Leeds,Russell Group,2017,4341,50.1,0.9770914535821239,0.1032020271826768,0.61782999308915,0.5293711126468555,False
University of Leeds,Russell Group,2018,4578,50.5,0.9112850589777196,0.10332022717343818,0.63564875491481,0.5375709916994321,False
University of Leeds,Russell Group,2019,4734,50.4,0.9729966201943389,0.09611322348964935,0.6366708914237431,0.5680185889311364,False
University of Leeds,Russell Group,2020,5176,51.3,1.0062328052550233,0.1035548686244204,0.6986089644513137,0.5875193199381762,False
University of Leeds,Russell Group,2021,5254,49.7,0.9815881233346022,0.10354015987818804,0.7164065473924629,0.5968785687095546,False
University of Leeds,Russell Group,2022,4897,51.7,0.9933261180314479,0.10332856851133347,0.7794568102920155,0.6175209311823565,False
University of Leeds,Russell Group,2023,5083,51.0,1.0509594727523117,0.09935077710013772,0.8498917961833563,0.5998426126303364,False
University of Leeds,Russell Group,2024,5176,48.9,0.9575595054095828,0.09157650695517774,0.8295981452859351,0.6122488408037094,False
University of Liverpool,Russell Group,2015,3871,45.1,0.8889346422113149,0.08266597778351847,0.5515370705244123,0.5063291139240507,False
University of Liverpool,Russell Group,2016,4055,46.4,0.9202347718865599,0.0872996300863132,0.5928483353884094,0.5452527743526511,False
University of Liverpool,Russell Group,2017,4339,46.9,0.8935229315510487,0.08896058999769532,0.6404701544134593,0.5471306752707997,False
University of Liverpool,Russell Group,2018,4295,46.6,0.9337376018626309,0.0889406286379511,0.6337601862630966,0.5832363213038417,False
University of Liverpool,Russell Group,2019,4733,47.5,0.9562248045637016,0.09866892034650328,0.6608916120853581,0.6049017536446228,False
University of Liverpool,Russell Group,2020,5322,47.85,0.9629505824877866,0.09620443442314919,0.6830139045471627,0.6191281473130402,False
University of Liverpool,Russell Group,2021,5598,47.3,0.9690625223294034,0.0918185066095034,0.7363344051446945,0.6096820292961772,False
University of Liverpool,Russell Group,2022,5198,48.3,1.0251148518661022,0.0944594074644094,0.7654867256637168,0.6221623701423624,False
University of Liverpool,Russell Group,2023,5261,47.6,0.9521087245770766,0.09180764113286448,0.7922448203763544,0.6399923968827219,False
University of Liverpool,Russell Group,2024,5791,49.0,1.0456888274909342,0.0996373683301675,0.7774132274218615,0.6620618200656191,False
University of Manchester,Russell Group,2015,6266,52.5,1.149970156399617,0.1085221832109799,0.6177784870730929,0.508937120970316,False
University of Manchester,Russell Group,2016,6728,51.7,1.0571697384066587,0.10478596908442331,0.7355826397146255,0.5252675386444708,False
University of Manchester,Russell Group,2017,6776,51.0,1.0276158500590318,0.10020661157024793,0.7992916174734357,0.5535714285714286,False
University of Manchester,Russell Group,2018,6929,50.6,0.9859568480300187,0.10520998701111271,0.8105065666041276,0.5755520277096262,False
University of Manchester,Russell Group,2019,7091,51.7,1.0270669863206883,0.10619094626991962,0.7815540826399662,0.590466788887322,False
University of Manchester,Russell Group,2020,7624,51.5,1.1025641395592864,0.10257082896117524,0.7863326337880377,0.6097848898216159,False
University of Manchester,Russell Group,2021,7850,51.1,1.0293994904458599,0.10407643312101911,0.782547770700637,0.6132484076433121,False
University of Manchester,Russell Group,2022,7486,51.2,1.0898764360138926,0.10646540208388992,0.8155223083088432,0.6263692225487577,False
University of Manchester,Russell Group,2023,7906,51.0,1.1155542625853783,0.10422463951429294,0.8525170756387553,0.6211737920566658,False
University of Manchester,Russell Group,2024,7822,47.8,1.052617744822296,0.09511633853234466,0.8300946049603682,0.6229864484786499,False
University of Nottingham,Russell Group,2015,4033,48.0,0.9217289858666006,0.09075130176047608,0.7022067939499133,0.45747582444830154,False
University of Nottingham,Russell Group,2016,4281,49.4,0.9216956318617145,0.10114459238495678,0.7734174258350852,0.4795608502686288,False
University of Nottingham,Russell Group,2017,4426,50.6,0.9465998644374153,0.09511974694984185,0.8054676909173069,0.5149118843199277,False
University of Nottingham,Russell Group,2018,4468,48.3,0.9571228737690242,0.09153983885407341,0.8205013428827216,0.536705461056401,False
University of Nottingham,Russell Group,2019,4733,49.8,0.9767730826114515,0.09634481301500106,0.8032960067610395,0.5732093809423199,False
University of Nottingham,Russell Group,2020,5235,49.6,0.9210981852913084,0.08882521489971347,0.8099331423113658,0.600764087870105,False
University of Nottingham,Russell Group,2021,5056,50.3,1.0215085047468355,0.10087025316455696,0.8206091772151899,0.6162974683544303,False
University of Nottingham,Russell Group,2022,4803,49.7,1.0019383718509265,0.08723714345200916,0.837809702269415,0.5906724963564439,False
University of Nottingham,Russell Group,2023,4838,50.3,0.9629799503927242,0.09363373294749897,0.8838362959900785,0.6103761885076477,False
University of Nottingham,Russell Group,2024,4682,47.8,0.999263135412217,0.08949167022639898,0.8731311405382315,0.611490815890645,False
University of Oxford,Russell Group,2015,9867,57.3,1.3639760818891253,0.14168440255396778,0.6284584980237155,0.5928853754940712,False
University of Oxford,Russell Group,2016,10388,55.5,1.4179111474778592,0.13515594917212168,0.6668271082017713,0.609260685406238,False
University of Oxford,Russell Group,2017,10819,55.5,1.2798726314816526,0.1355023569645993,0.7066272298733709,0.6250115537480359,False
University of Oxford,Russell Group,2018,11337,56.1,1.3137568139719502,0.13460351062891418,0.7111228720119961,0.6383522977860104,False
University of Oxford,Russell Group,2019,11840,56.1,1.2852085304054055,0.13361486486486487,0.7245777027027027,0.6474662162162163,False
University of Oxford,Russell Group,2020,13099,54.9,1.3571703946866174,0.13970532101687153,0.7722726925719521,0.6554698831971906,False
University of Oxford,Russell Group,2021,13822,56.4,1.3177420778469107,0.13919837939516713,0.8011141658226016,0.6629286644479815,False
University of Oxford,Russell Group,2022,13259,56.3,1.2623084697186817,0.13334338939588206,0.8152952711365865,0.6803680518892827,False
University of Oxford,Russell Group,2023,13156,55.6,1.2578628762541806,0.13659166920036486,0.8398449376710246,0.6869109151717847,False
University of Oxford,Russell Group,2024,13351,55.7,1.335793648415849,0.134222155643772,0.840760991686016,0.6994232641749681,False
University of Sheffield,Russell Group,2015,3760,51.5,1.0534811170212766,0.09707446808510638,0.5454787234042553,0.4625,False
University of Sheffield,Russell Group,2016,3990,52.3,1.0387270676691729,0.09699248120300752,0.5979949874686716,0.49473684210526314,False
University of Sheffield,Russell Group,2017,4214,52.3,0.9861124822021832,0.10085429520645467,0.6357380161366872,0.50640721404841,False
University of Sheffield,Russell Group,2018,4050,51.9,1.1733254320987654,0.10271604938271604,0.6395061728395062,0.5271604938271605,False
University of Sheffield,Russell Group,2019,4239,52.9,0.9867841472045293,0.10214673271998113,0.647794291106393,0.5163953762679877,False
University of Sheffield,Russell Group,2020,4532,51.4,1.0533592233009708,0.09201235657546337,0.7032215357458076,0.56090026478376,False
University of Sheffield,Russell Group,2021,4583,50.6,0.9511769583242417,0.09753436613571896,0.7283438795548767,0.5716779402138338,False
University of Sheffield,Russell Group,2022,4363,51.2,0.9440534036213614,0.09030483612193445,0.7774467109786843,0.5672702269080908,False
University of Sheffield,Russell Group,2023,4326,51.0,1.0345205732778548,0.09616273693943597,0.8358760980120203,0.582293111419325,False
University of Sheffield,Russell Group,2024,4436,47.8,0.9242608205590621,0.08656447249774572,0.8216862037871957,0.5665013525698828,False
University of Southampton,Russell Group,2015,4353,51.5,1.081418791637951,0.09694463588329888,0.5616815988973122,0.5635194118998392,False
University of Southampton,Russell Group,2016,4394,52.1,1.1163006372325899,0.10969503868912153,0.7073281747837961,0.590805644060082,False
University of Southampton,Russell Group,2017,4409,50.6,1.002263778634611,0.10047629848038103,0.7414379677931504,0.5708777500567022,False
University of Southampton,Russell Group,2018,4406,51.6,1.0861064457557876,0.10190649114843395,0.7489786654561961,0.6130276895142986,False
University of Southampton,Russell Group,2019,4416,50.7,0.9862302989130435,0.10326086956521739,0.7259963768115942,0.6175271739130435,False
University of Southampton,Russell Group,2020,4639,50.8,1.128955593877991,0.09441690019400734,0.736796723431774,0.631817201983186,False
University of Southampton,Russell Group,2021,4703,49.6,1.0921024877737615,0.10355092494152668,0.7484584307888582,0.6210929194131406,False
University of Southampton,Russell Group,2022,4333,51.7,1.0493544888068314,0.11100853911839373,0.7832910223863374,0.6397415185783522,False
University of Southampton,Russell Group,2023,4408,50.6,1.1019553085299456,0.10322141560798548,0.8273593466424682,0.6551724137931034,False
University of Southampton,Russell Group,2024,4300,51.9,1.0251618604651163,0.10511627906976745,0.8323255813953488,0.65,False
University of Warwick,Russell Group,2015,3089,53.3,1.1169482033020395,0.10521204273227582,0.5700874069278083,0.49757202978310133,False
University of Warwick,Russell Group,2016,3323,51.7,1.0913647306650618,0.091784532049353,0.6322600060186578,0.4986458019861571,False
University of Warwick,Russell Group,2017,3434,51.1,1.0378832265579498,0.08998252766453116,0.6584158415841584,0.5297029702970297,False
University of Warwick,Russell Group,2018,3447,52.0,1.1075697708152017,0.10501885697708152,0.6573832317957644,0.5483028720626631,False
University of Warwick,Russell Group,2019,3561,51.8,0.9706270710474585,0.08677337826453244,0.6290367874192643,0.5520921089581579,False
University of Warwick,Russell Group,2020,3942,50.2,0.8972681380010147,0.09233891425672247,0.6864535768645358,0.5745814307458144,False
University of Warwick,Russell Group,2021,3784,52.1,1.0021966173361523,0.10015856236786469,0.7259513742071881,0.5991014799154334,False
University of Warwick,Russell Group,2022,3872,52.2,1.1600170454545455,0.11131198347107438,0.7629132231404959,0.6118285123966942,False
University of Warwick,Russell Group,2023,3874,49.0,0.9708928755807951,0.10041300980898296,0.8156943727413526,0.6179659266907589,False
University of Warwick,Russell Group,2024,4024,45.1,0.9307271371769384,0.08449304174950298,0.8044234592445328,0.5897117296222664,False
University of York,Russell Group,2015,2140,50.3,1.1046242990654207,0.09252336448598131,0.5672897196261683,0.4481308411214953,False
University of York,Russell Group,2016,2207,51.6,1.1002437698232894,0.08427729950158587,0.653375623017671,0.4902582691436339,False
University of York,Russell Group,2017,2320,50.55,1.020451724137931,0.09827586206896552,0.6827586206896552,0.525,False
University of York,Russell Group,2018,2360,51.05,1.5030088983050849,0.10338983050847457,0.713135593220339,0.5228813559322034,False
University of York,Russell Group,2019,2505,51.1,0.9642039920159681,0.1029940119760479,0.7105788423153693,0.5449101796407185,False
University of York,Russell Group,2020,2728,50.150000000000006,0.9625355571847507,0.09347507331378299,0.7452346041055719,0.5964076246334311,False
University of York,Russell Group,2021,2663,52.2,1.2428336462636125,0.10439354111903867,0.7671798723244461,0.5959444235824258,False
University of York,Russell Group,2022,2653,51.2,1.0009012438748586,0.08820203543158689,0.8002261590652092,0.5872597059932152,False
University of York,Russell Group,2023,2737,50.3,0.9032243332115455,0.0803799780781878,0.8560467665327001,0.5732553891121666,False
University of York,Russell Group,2024,2746,48.05,0.9057246904588492,0.0797523670793882,0.8638018936635106,0.5753823743627094,False
